,NL111,NL112,NL113,NL124_1,NL126,NL131_2,NL211_1,NL213,NL221_2,NL225,NL230,NL310,NL321_2,NL323_3,NL332_3,NL333,NL33A,NL341_1,NL411_1,NL413,NL414,NL421_2
2019-11-02 01:00:00,237.7372223294159,269.7463158971636,500.9481988489601,616.5274398737828,324.9532462762581,870.7255270681312,776.0945699330448,528.8427501338763,1549.9269180975832,402.9804704535776,415.88191590379597,961.4352281908876,2025.273046402857,1276.267315291311,2475.594011857045,459.9162007504029,472.85702851236954,682.9630862894328,1069.2717280253478,595.3865529431234,702.348809411463,1313.213484429349
2019-11-02 02:00:00,234.73960854888563,266.34510145603497,494.63177431313056,608.7536839102345,320.85593109977276,859.7466033075839,766.3088419976756,522.1746049439814,1530.3839864397612,397.89931488323776,410.6380868139651,949.3125514771887,1999.7365051168583,1260.1749404647196,2444.379401657476,454.1171461145737,466.8948037879415,674.3516474116875,1055.7893476237675,587.8793611018233,693.492937162255,1296.6552576648035
2019-11-02 03:00:00,235.0041038824618,266.6452086126051,495.18910588982135,609.4396035540769,321.2174589094626,860.7153318746908,767.1722885802081,522.762970696031,1532.10836276251,398.34765213944416,411.100777616009,950.3821994225149,2001.9897293479755,1261.5948558905952,2447.1336319692027,454.62882740597036,467.4208824400969,675.1114802538414,1056.9789694239068,588.5417603819379,694.2743376548322,1298.1162776734395
2019-11-02 04:00:00,238.8613274971149,271.02177131258696,503.3168580498964,619.4425983601137,326.4897394674402,874.8426234783368,779.7642179088086,531.3433045800871,1557.255517469267,404.8859037924552,417.8483518124827,965.9812319585253,2034.8492493851074,1282.3019558512835,2487.299490681885,462.09084623883905,475.0928627840303,686.1923758685876,1074.327620675941,598.2017498836112,705.6697615049163,1319.422819466054
2019-11-02 05:00:00,251.42485584198477,285.2768612496704,529.7901079427116,652.0237814426332,343.6623104277096,920.8572304159255,820.7779305791065,559.2906778024409,1639.1633927998453,426.1819234622622,439.82616490956804,1016.7895093615294,2141.877400363192,1349.7479385803806,2618.125430488904,486.39570758018226,500.0815987614129,722.284435870903,1130.8346561825647,629.6657156890607,742.7862849023326,1388.8212698762825
2019-11-02 06:00:00,267.97785546829584,304.0585674650208,564.6697757839473,694.9509191531106,366.2879258508015,981.4834932407138,874.815295869271,596.1125677848755,1747.0806109985551,454.2403634131834,468.78289760414896,1083.731643273207,2282.8916834939673,1438.610978983104,2790.494344164468,518.4184284000925,533.0053544088066,769.8373079090417,1205.2851538412922,671.1208706362409,791.6889323961215,1480.2567720834436
2019-11-02 07:00:00,282.65734648177545,320.71451465466583,595.6016782902897,733.0194593863704,386.35271928859015,1035.2479287151598,922.7365811998301,628.766867023626,1842.7834969111261,479.12308113264226,494.46223711758574,1143.097104238823,2407.945628320994,1517.4162851192077,2943.354126465302,546.8167400726096,562.2027196034329,812.0080306485895,1271.3091637490322,707.8840306826085,835.0566597341556,1561.3433825627637
2019-11-02 08:00:00,295.1106684376553,334.8445599431785,621.8427066928173,765.3148426172891,403.37465366148894,1080.8588987497876,963.3905244607397,656.4690878492926,1923.9728821072263,500.2322936123634,516.2472623804863,1193.4596949979414,2514.034935869447,1584.2706364208573,3073.032470309103,570.908400875871,586.9722561424177,847.7834936333411,1327.3205235055984,739.0719967880103,871.8475995929982,1630.1330746360609
2019-11-02 09:00:00,304.91903705777315,345.97353366598946,642.5104193284365,790.7510294097825,416.7813099374889,1116.7825831133441,995.4100018963235,678.2876511544638,1987.9185040758364,516.8581335300199,533.4053796229477,1233.125806303796,2597.5920011067246,1636.9258334637495,3175.1685110356366,589.8832487651655,606.4810061598482,875.9606281965525,1371.43566526077,763.6359700922651,900.8245345260691,1684.3125666229944
2019-11-02 10:00:00,294.64780160389694,334.3193724191807,620.8673764336083,764.1144832405646,402.7419799945316,1079.1636237573503,961.8794929413076,655.4394477832059,1920.9552235424155,499.44770341400204,515.4375534769094,1191.5878110936203,2510.0917934649915,1581.7857844255748,3068.212567263581,570.0129586159268,586.0516185011456,846.4537861595716,1325.2386853553544,737.9127980478096,870.4801487309882,1627.5762896209474
2019-11-02 11:00:00,277.8303066440097,315.2375590472601,585.4303770156818,720.5014258862446,379.75483676174986,1017.5686323654548,906.9786810686104,618.0291920487217,1811.3136290209568,470.94092620687434,486.0181299802845,1123.5760292366163,2366.824286103098,1491.5028285969756,2893.08942327629,537.4785565046199,552.6017842015965,798.1410812792789,1249.5985658964873,695.7952438205148,820.796100744622,1534.6797674051497
2019-11-02 12:00:00,270.0276943035116,306.3843979284399,568.9890955033019,700.2667963928906,369.08976637589836,988.9911396357946,881.5070068838992,600.67240236326,1760.4445274998611,457.71497714878376,472.36875131998954,1092.0214148494874,2300.35417128513,1449.615323533642,2811.839629080352,522.3839584084172,537.0824639630115,775.7260124357357,1214.5047227923737,676.2544650571305,797.7447862135951,1491.5796771503765
2019-11-02 13:00:00,277.80826536621163,315.2125501175459,585.3839327176241,720.4442659159243,379.7247094442756,1017.4879049848624,906.9067271867326,617.9801615693841,1811.169930994061,470.9035647688571,485.9795724134475,1123.4868919078388,2366.6365174171715,1491.384502311486,2892.8599040836457,537.4359163970033,552.5579443139168,798.077761875766,1249.4994307464756,695.7400438805051,820.7309840369071,1534.5580157377633
2019-11-02 14:00:00,292.3555087129031,331.71844372890575,616.0371694356209,758.1698463272627,399.6087389772192,1070.7679761757547,954.396289226025,650.3402779321096,1906.010628745257,495.5621138602126,511.4275665258622,1182.317528900791,2490.5638501286385,1569.4798507346513,3044.3425712286157,565.5783874238219,581.4922701824652,839.8685681942366,1314.9286297541455,732.1720042868152,863.7080111286524,1614.9141162127648
2019-11-02 15:00:00,304.80883066878295,345.84848901741844,642.2781978381485,790.4652295581812,416.630673350118,1116.3789462103825,995.0502324869345,678.0424987577763,1987.2000139413572,516.6713263399337,533.2125917887627,1232.6801196599097,2596.6531576770917,1636.334202036301,3174.020915072416,589.6700482270834,606.2618067214498,875.6440311789881,1370.9399895107115,763.3599703922171,900.498950987495,1683.703808286062
2019-11-02 16:00:00,324.5137330202105,368.20647218189686,683.7994003016169,841.5662430244488,443.5644951720144,1188.5492244598643,1059.3770028856127,721.8757472854683,2115.6660499861596,550.0724519273153,567.6830565410336,1312.3688915867272,2764.518362895352,1742.1179012640437,3379.2110732960577,627.7903044361377,645.4546663070292,932.2515779194622,1459.5668136211011,812.7087167607646,958.7132876844956,1792.5497989294738
2019-11-02 17:00:00,319.00341357070613,361.9542397533514,672.188325787224,827.2762504443963,436.0326658034751,1168.3673793117987,1041.3885324161836,709.6181274511024,2079.741543262221,540.7320924230139,558.0436648317855,1290.0845593924269,2717.576191413735,1712.536329891632,3321.8312751350836,617.1302775320397,634.4946943871244,916.4217270412535,1434.7830261181955,798.9087317583742,942.434110755804,1762.111882082882
2019-11-02 18:00:00,306.9909171707867,348.3243730591225,646.8761833458481,796.1240666198821,419.6132777800596,1124.3709568890165,1002.1736667928286,682.8965162121852,2001.426118604037,520.3701087036371,537.029790905625,1241.5047152088528,2615.2422575838123,1648.048504299776,3196.7433151441624,593.8914188811062,610.6019556017322,881.9126521267589,1380.7543693618622,768.8247644531638,906.945505051257,1695.7572233573126
2019-11-02 19:00:00,293.8763568809664,333.4440598791844,619.2418260015934,762.1138842793574,401.6875238829362,1076.3381654366212,959.3611070755877,653.7233810063948,1915.9257926010646,498.14005308339995,514.0880386376148,1188.4680045864184,2503.519889457565,1577.6443644334374,3060.179395521045,568.5205548493532,584.5172224323591,844.2376070366224,1321.7689551049477,735.9808001474751,868.2010639609715,1623.3149812624247
