,NL11,NL12,NL13,NL21,NL22,NL23,NL31,NL32,NL33,NL34,NL41,NL42
2019-04-04 20:00:00,1267.0375394815235,1182.9173241892595,1094.017461786326,1639.5800631881061,2453.7178685004014,522.5321457749159,1207.989079588625,4148.199052631129,4282.420994961595,858.104556405933,2974.0107629175664,1649.9785964200385
2019-04-04 21:00:00,1182.3315174353122,1103.8350414475635,1020.8784549697375,1529.9682319271542,2289.6779932892623,487.5989902206012,1127.2306597164813,3870.877008528134,3996.125730688042,800.737176823305,2775.187434168798,1539.6715857679908
2019-04-04 22:00:00,1103.515649239996,1030.2518578369124,952.8252731304614,1427.9784154227586,2137.0448643676395,455.094961377017,1052.0878915573012,3612.8389476243533,3729.738415254703,747.3589196619857,2590.189568677394,1437.0349301612841
2019-04-04 23:00:00,1048.6343744705407,979.0142199016187,905.4383007228035,1356.9605953894481,2030.7629584637327,432.4616696437025,999.764279565084,3433.1611994030955,3544.246891933977,710.1904297999516,2461.371363406392,1365.5667014054866
2019-04-05 00:00:00,1019.1836052160631,951.518724246393,880.0091758362412,1318.8505216066665,1973.7292270161508,420.31603609005003,971.6860210002658,3336.7412834070205,3444.707147732907,690.2448176934088,2392.244047119568,1327.214926178781
2019-04-05 01:00:00,1014.4153854320051,947.0670725688806,875.892079426036,1312.6803191846927,1964.4951943055903,418.3496001813635,967.1400172326287,3321.1304398647994,3428.5911891479723,687.0155281142543,2381.0520054350354,1321.0055911420766
2019-04-05 02:00:00,1030.1224623677265,961.7313369183341,889.454279365536,1333.0056918688429,1994.9131844109672,424.82727140997815,982.1150884671985,3372.554395062706,3481.6790527218764,697.6531879044105,2417.9199074546746,1341.459871262986
2019-04-05 03:00:00,1078.8330997695768,1007.2080138591995,931.5132446541043,1396.0385440619511,2089.2451656306184,444.91576373205106,1028.5556367601203,3532.0298751705,3646.3146296385676,730.6425971345974,2532.2542940751036,1404.892489971283
2019-04-05 04:00:00,1197.5711218431845,1118.0628693580452,1034.0370180062762,1549.6886828052286,2319.1906860700747,493.8838736150309,1141.7600443071651,3920.77048886896,4047.633598322247,811.0582395958971,2810.9580771997576,1559.5171075519686
2019-04-05 05:00:00,1343.609539543165,1254.405612892846,1160.1331864913882,1738.6662550233377,2602.0055702641134,554.1107930144123,1280.9925518571524,4398.890834220923,4541.224329884378,909.9631478829443,3153.7417852633075,1749.6932120094725
2019-04-05 06:00:00,1417.3767044377141,1323.2752829626018,1223.8270897786826,1834.1229160221146,2744.861488080438,584.5327132487992,1351.3219042623643,4640.399766668236,4790.547689168964,959.9221572545711,3326.8892536769713,1845.7552775773163
